feature,pearson_corr,spearman_corr,non_na,abs_spearman
塑编开工率__range_over_mean,-0.12086277053988287,0.06063782639997577,79,0.06063782639997577
PP开工率__mean_roll_mean_6,-0.03511862165610561,-0.058809997963820554,77,0.058809997963820554
MTO成本__range,-0.14231237563754437,-0.05874000620190629,66,0.05874000620190629
MTO成本__max_minus_min,-0.14231237563754437,-0.05874000620190629,66,0.05874000620190629
PP开工率__mean_mom_3,-0.040442882395061566,-0.05857866424377612,76,0.05857866424377612
BOPP开工率__mean_roll_std_3,0.019604583244435647,0.05857300594142699,77,0.05857300594142699
BOPP开工率__mean,0.09098076954022015,0.05757339702037893,79,0.05757339702037893
BOPP开工率__last,0.09098076954022015,0.05757339702037893,79,0.05757339702037893
BOPP开工率__max,0.09098076954022015,0.05757339702037893,79,0.05757339702037893
BOPP开工率__min,0.09098076954022015,0.05757339702037893,79,0.05757339702037893
指数__下游开工均值__mean,0.021885667523650437,-0.05754660142877639,79,0.05754660142877639
PP开工率__mean_roll_std_3,0.07816455635614125,-0.05530032665037842,77,0.05530032665037842
价差__PP价格_minus_MTO成本__mean,-0.04472017130179782,-0.054503705249973916,66,0.054503705249973916
丙烯成本__mean,-0.07308132827582053,-0.0543455108670657,79,0.0543455108670657
cal_year,0.0548677873928016,0.05433794845873652,79,0.05433794845873652
丙烯成本__max,-0.10833921134960135,-0.05423204810626632,79,0.05423204810626632
排产比例__max_minus_min,-0.11282672030196517,-0.05332408288052394,79,0.05332408288052394
排产比例__range,-0.11282672030196517,-0.05332408288052394,79,0.05332408288052394
BOPP开工率__mean_mom_3,0.03453332235929987,-0.05323308270676692,76,0.05323308270676692
塑编开工率__mean_roll_std_3,0.07829767361866073,0.053185056673741946,77,0.053185056673741946
价差__现货_minus_期货__mean,0.018351905127167858,-0.051948051948051945,21,0.051948051948051945
MTO成本__range_over_mean,-0.08745520208518144,-0.0482413109278781,66,0.0482413109278781
PP开工率__min,-0.008321036401379454,-0.048013336167253014,79,0.048013336167253014
PP产量__mean_roll_mean_3,-0.026829388775046686,-0.04687417845312581,77,0.04687417845312581
塑编开工率__range,-0.09107596868280009,0.04673441417977611,79,0.04673441417977611
塑编开工率__max_minus_min,-0.09107596868280009,0.04673441417977611,79,0.04673441417977611
CTO成本__mean_roll_std_12,-0.0509828576338263,0.04579630895420369,76,0.04579630895420369
PP开工率__mean_mom_1,0.11172838387980676,-0.04573249817416287,78,0.04573249817416287
塑编开工率__mean,0.0026710901217899736,-0.0455204479121724,79,0.0455204479121724
价差__PP价格_minus_乙烯成本__mean,-0.022245170635565033,-0.04247809152872445,79,0.04247809152872445
GDP__mean_roll_mean_12,-0.025794312430937095,-0.04191513615981766,53,0.04191513615981766
MTO成本__last_minus_mean,0.07244716649565947,0.041686671537417806,66,0.041686671537417806
PP产量__mean_mom_12,0.022221371841545524,0.03831111820576264,67,0.03831111820576264
排产比例__range_over_mean,0.0006659842805271769,0.038242453748782865,79,0.038242453748782865
PP进口量__mean_roll_std_12,0.03768016910558201,-0.037830590462169404,77,0.037830590462169404
PP开工率__mean_roll_std_6,0.09727736355568362,0.036305799463694194,77,0.036305799463694194
丙烯成本__last,0.008664501798153772,0.035646458324743086,79,0.035646458324743086
PP价格__mean_roll_std_6,-0.03469054139965237,-0.03541195646458804,77,0.03541195646458804
BOPP开工率__mean_roll_std_6,0.09579126278943728,0.03541195646458804,77,0.03541195646458804
CTO成本__mean_mom_1,0.0015345732259909905,0.035227929964772066,77,0.035227929964772066
PP石化库存__mean_roll_mean_3,0.03791956884978245,-0.03467585046532415,77,0.03467585046532415
MTO成本__mean_mom_3,-0.005403022311429823,-0.033890168970814136,63,0.033890168970814136
CTO成本__mean_roll_mean_6,-0.046024747060727435,-0.03311004784688995,76,0.03311004784688995
PP开工率__max_minus_min,0.010061295429081869,0.03230862388541316,79,0.03230862388541316
PP开工率__range,0.010061295429081869,0.03230862388541316,79,0.03230862388541316
BOPP开工率__mean_roll_mean_12,0.023908852752809368,0.03209947946790052,77,0.03209947946790052
PP开工率__mean_roll_mean_3,-0.02098955317484682,-0.03158704182097917,77,0.03158704182097917
PP进口量__mean_mom_1,0.013325977456768827,-0.03012776696987223,77,0.03012776696987223
CTO成本__max,0.014847861259362296,0.029770712550090356,78,0.029770712550090356
GDP__last,-0.016826731825552884,0.028657456771367027,55,0.028657456771367027
GDP__max,-0.016826731825552884,0.028657456771367027,55,0.028657456771367027
GDP__mean,-0.016826731825552884,0.028657456771367027,55,0.028657456771367027
GDP__min,-0.016826731825552884,0.028657456771367027,55,0.028657456771367027
塑编开工率__mean_roll_mean_3,0.004911128505921815,0.028091807799903168,77,0.028091807799903168
塑编开工率__last_minus_mean,0.17767900039551443,-0.02378463090311103,79,0.02378463090311103
GDP__mean_roll_std_12,0.01656261471675695,0.02347558244973568,53,0.02347558244973568
PP石化库存__mean_mom_12,0.010085580215683126,-0.02314630058264826,67,0.02314630058264826
丙烯成本__mean_mom_12,-0.10150896181165679,-0.02166972623513449,67,0.02166972623513449
塑编开工率__max,-0.027993780694160583,-0.020992023196821984,79,0.020992023196821984
乙烯成本__mean_mom_3,-0.03920411740613728,0.02066985645933014,76,0.02066985645933014
乙烯成本__range,0.14452043926403865,0.02064264849074976,79,0.02064264849074976
乙烯成本__max_minus_min,0.14452043926403865,0.02064264849074976,79,0.02064264849074976
PDH成本__range_over_mean,0.2745386291019598,0.020197044334975364,29,0.020197044334975364
MTO成本__mean_mom_12,-0.06631658215987668,-0.0194777968362874,54,0.0194777968362874
PP石化库存__mean_roll_mean_12,0.009569753675891673,-0.019086176980913822,77,0.019086176980913822
PP价格__last,-0.07662064253112873,-0.01833533278919106,79,0.01833533278919106
CTO成本__mean_roll_mean_3,-0.0054995969025134145,-0.016596035543403966,76,0.016596035543403966
PP产量__mean_roll_mean_12,0.024332134372516554,0.015852568484147428,77,0.015852568484147428
PP开工率__max,0.0006900169608111466,-0.015770007570041992,79,0.015770007570041992
CTO成本__min,-0.005514992145552004,-0.01523927565663953,78,0.01523927565663953
塑编开工率__last,0.10764948025991078,-0.01402377958045486,79,0.01402377958045486
CTO成本__last,-0.014153131613754323,-0.013657833349873263,78,0.013657833349873263
PP开工率__mean,-0.029261515899887274,-0.013428457079442685,79,0.013428457079442685
塑编开工率__mean_mom_1,0.20124647314290184,-0.013168881341565944,78,0.013168881341565944
PP开工率__last,0.1279477679958965,0.011982222831252899,79,0.011982222831252899
CTO成本__mean_mom_12,-0.055199552364691616,-0.011501930904915981,66,0.011501930904915981
PP开工率__range_over_mean,-0.0028352752903383124,0.009181642024828707,79,0.009181642024828707
PP开工率__mean_roll_mean_12,0.038051343202261535,0.007545086492454913,77,0.007545086492454913
CTO成本__mean,0.009714136318974297,0.007245964453188335,78,0.007245964453188335
PP产量__mean_mom_1,0.0696031333350918,-0.0071447539801970175,78,0.0071447539801970175
PP产量__max,0.02290108607623341,0.0060856864654333,79,0.0060856864654333
PP产量__min,0.02290108607623341,0.0060856864654333,79,0.0060856864654333
PP产量__last,0.02290108607623341,0.0060856864654333,79,0.0060856864654333
PP产量__mean,0.02290108607623341,0.0060856864654333,79,0.0060856864654333
GDP__mean_roll_mean_6,0.0038093758009144145,-0.005648517372430323,53,0.005648517372430323
PP产量__mean_roll_mean_6,0.01657229596609896,0.005468215994531783,77,0.005468215994531783
比值__PP价格_div_MTO成本__mean,0.018657889826374965,-0.0042375534912848355,66,0.0042375534912848355
丙烯成本__min,-0.011399433142750416,-0.004115602492735465,79,0.004115602492735465
PP进口量__mean_roll_std_3,0.04070823749744002,0.003991797676008202,76,0.003991797676008202
GDP__mean_roll_mean_3,-0.027129560495311324,0.0023302275679902376,53,0.0023302275679902376
CTO成本__mean_roll_mean_12,-0.03534662532875198,0.00016404647983595352,76,0.00016404647983595352
