month,丙烯成本,PP石化库存,塑编开工率,PP开工率,PP进口量,PP产量
2019-06,0.7530434782608695,-0.23130434782608694,0.0908582857567358,-0.030997865396058095,0.31746032496500554,0.013913043478260868
2019-07,0.7530434782608695,-0.25652173913043474,0.21243502596303443,-0.07727636866341243,0.30963253613025193,-0.13826086956521738
2019-08,0.7217391304347825,-0.3521739130434782,0.28724185786432266,-0.1497174363577376,0.12524462135605696,-0.31130434782608696
2019-09,0.7426086956521739,-0.3695652173913043,0.3101156352133958,-0.26800730589985683,0.004783648732349399,-0.3208695652173913
2019-10,0.7460869565217391,-0.3069565217391304,0.33878325097009787,-0.38280522357357394,-0.09393346601704272,-0.328695652173913
2019-11,0.7617391304347826,-0.3043478260869565,0.395716230750582,-0.47970688792173066,-0.2074364041209694,-0.38260869565217387
2019-12,0.8095652173913043,-0.2008695652173913,0.4364728246470795,-0.5548557501139347,-0.2965862214056627,-0.4547826086956522
2020-01,0.8547826086956521,-0.03913043478260869,0.4653957226658618,-0.590931667657171,-0.3735594782807394,-0.5356521739130434
2020-02,0.8713043478260868,0.11652173913043477,0.5175445842451817,-0.41272726983664987,-0.29049794120085437,-0.606086956521739
2020-03,0.9260869565217391,-0.020869565217391303,0.5819637661961059,-0.26934049921758146,-0.1991737381287295,-0.6095652173913042
2020-04,0.9295652173913044,-0.12782608695652173,0.6148306957629042,-0.32948449418849773,-0.1313329015608653,-0.6599999999999999
2020-05,0.9243478260869564,-0.20434782608695648,0.4851158804059408,-0.35912066562344186,-0.08654055433977549,-0.6678260869565217
2020-06,0.9252173913043478,-0.25478260869565217,0.36598754814385687,-0.31154758034172525,-0.1417699533405367,-0.6799999999999999
2020-07,0.9226086956521738,-0.23043478260869563,0.373174910535377,-0.25054525691817064,-0.14829311070283135,-0.6869565217391305
2020-08,0.9252173913043478,-0.1643478260869565,0.3668157245044262,-0.1886480868879906,-0.1413350761830504,-0.7234782608695651
2020-09,0.9217391304347825,-0.10956521739130433,0.37816954454861085,-0.13452860410738754,-0.14481409344294088,-0.6791304347826086
2020-10,0.9165217391304347,-0.07043478260869565,0.40087718463698,-0.08342520579386695,-0.18830180919157177,-0.6252173913043478
2020-11,0.9095652173913044,-0.09217391304347824,0.3945041323558326,0.020528715561841604,-0.17391304347826084,-0.5756521739130435
2020-12,0.8956521739130434,-0.13043478260869562,0.371404932107528,0.07409042858736059,-0.18347826086956517,-0.47130434782608693
2021-01,0.8486956521739129,-0.034782608695652174,0.32730536393592824,0.12274218365649134,-0.18869565217391301,-0.43652173913043474
2021-02,0.8217391304347826,-0.01652173913043478,0.2702711947261354,0.2205786852130389,-0.18086956521739128,-0.27391304347826084
2021-03,0.8243478260869566,-0.10521739130434782,0.2829129118988095,0.21883841945198923,-0.1869565217391304,-0.06782608695652173
2021-04,0.8521739130434782,-0.11130434782608695,0.2829129118988095,0.3084621061460444,-0.16347826086956518,0.09739130434782609
2021-05,0.8539130434782608,-0.08608695652173912,0.2369858615984014,0.26315791963163554,-0.2278260869565217,0.1973913043478261
2021-06,0.8217391304347826,-0.07130434782608694,0.2508714608524615,0.24619402068017474,-0.23565217391304347,0.23652173913043475
2021-07,0.8365217391304347,-0.09478260869565217,0.18989575856193264,0.21139627924128077,-0.1600790513833992,0.35130434782608694
