feature,coef_mag,group,rank_in_group,stage_id
排产比例__mean,0.20733251339111802,排产比例,1.0,5
排产比例__range,0.19554307396636483,排产比例,2.0,5
排产比例__last,0.14762463494344916,排产比例,3.0,5
排产比例__max,0.14471794999612603,排产比例,4.0,5
排产比例__min,0.0743004036180978,排产比例,5.0,5
MTO成本__range,0.2017821635932056,MTO成本,1.0,6
MTO成本__last,0.11578749747628543,MTO成本,2.0,6
MTO成本__mean,0.09883676604896445,MTO成本,3.0,6
MTO成本__max,0.0945305578628326,MTO成本,4.0,6
MTO成本__min,0.0860014054619632,MTO成本,5.0,6
PDH成本__range,0.13085713784917183,PDH成本,1.0,6
PDH成本__mean,0.09678204420392253,PDH成本,2.0,6
PDH成本__min,0.09315736046966804,PDH成本,3.0,6
PDH成本__max,0.09013496748502432,PDH成本,4.0,6
PDH成本__last,0.07566050088361403,PDH成本,5.0,6
PP开工率__last,0.14241518380804127,PP开工率,1.0,6
PP开工率__max,0.11927584363322044,PP开工率,2.0,6
PP开工率__range,0.11103833219845535,PP开工率,3.0,6
PP开工率__min,0.07520581652941881,PP开工率,4.0,6
PP开工率__mean,0.0553193748391161,PP开工率,5.0,6
PP石化库存__range,0.21739164491009433,PP石化库存,1.0,6
PP石化库存__last,0.10163475090015568,PP石化库存,2.0,6
PP石化库存__min,0.09625206949405649,PP石化库存,3.0,6
PP石化库存__max,0.09287025142075717,PP石化库存,4.0,6
PP石化库存__mean,0.07277864979102704,PP石化库存,5.0,6
PP进口量__mean,0.11141225149644443,PP进口量,1.0,6
PP进口量__min,0.11141225149644443,PP进口量,2.0,6
PP进口量__max,0.11141225149644443,PP进口量,3.0,6
PP进口量__last,0.11141225149644443,PP进口量,4.0,6
PP进口量__range,0.0,PP进口量,5.0,6
丙烯成本__mean,0.09546047878895911,丙烯成本,1.0,6
丙烯成本__min,0.09473525471472091,丙烯成本,2.0,6
丙烯成本__last,0.09107645244699752,丙烯成本,3.0,6
丙烯成本__max,0.08484207506883076,丙烯成本,4.0,6
丙烯成本__range,0.06798872594821996,丙烯成本,5.0,6
